vol_id,page_seq,entity,type
mdp.39015015209623,127,he,PERSON
uc1.b3435126,234,Unionist,MISC
uva.x000221395,165,him,PERSON
pst.000005442492,42,her,PERSON
uc1.32106007393728,96,She,PERSON
mdp.39015014862471,78,he,PERSON
nyp.33433076059314,549,Agnes,PERSON
uc1.b3687493,148,Antonia,PERSON
mdp.39015002741620,156,Jorge Rodríguez,PERSON
uc2.ark:/13960/t4kk94s0d,85,his,PERSON
mdp.39015020728666,107,she,PERSON
mdp.39015010399841,161,she,PERSON
hvd.hn3hhr,122,Harold,PERSON
mdp.39015002741612,130,Confederate,MISC
mdp.39015012856574,291,Bennett,PERSON
uc1.$b401346,225,Jerusalem,LOCATION
mdp.39015020648625,327,he,PERSON
miun.afb3853.0001.001,226,Laird,PERSON
mdp.39015059415839,423,Florida Avenue,LOCATION
mdp.39015011359729,19,Jodie,PERSON
mdp.39015020852250,39,Virginia,LOCATION
mdp.39015024079561,191,Lena,PERSON
uc2.ark:/13960/t88g8g708,495,He,PERSON
mdp.39015018046923,253,He,PERSON
mdp.39015053394352,87,Helen,PERSON
uva.x030788124,96,Her,PERSON
osu.32435001929710,374,Robin Johial,PERSON
mdp.39015053121862,78,summer,DATE
mdp.39015057621065,283,Khoe,PERSON
mdp.39015020716356,96,He,PERSON
uc1.b4368522,169,César,PERSON
mdp.39015030113016,293,she,PERSON
mdp.39015007057337,24,She,PERSON
mdp.39015009022487,178,her,PERSON
mdp.39015053394667,264,her,PERSON
dul1.ark:/13960/t8vb3f54w,226,He,PERSON
uc2.ark:/13960/t88g8g708,420,he,PERSON
mdp.39015014135811,170,Max,PERSON
mdp.39015000536758,203,her,PERSON
mdp.39015009022487,322,he,PERSON
mdp.39015073495692,121,him,PERSON
mdp.39015054095792,241,she,PERSON
uc1.32106010569173,150,last four years,DATE
pst.000005442492,91,Jean Jacques,PERSON
mdp.39015054095792,175,his,PERSON
uiug.30112001309258,162,he,PERSON
mdp.39015001145047,26,Perkins Street,LOCATION
osu.32435067037481,169,her,PERSON
mdp.39015030113503,145,Highlanders,ORGANIZATION
mdp.39015019472599,9,New York,LOCATION
osu.32435018054957,363,Sappho,PERSON
mdp.39015014637402,260,he,PERSON
osu.32435055405872,91,French,MISC
mdp.39015014862489,108,his,PERSON
mdp.39015030747045,295,her,PERSON
mdp.39015004733401,195,he,PERSON
hvd.32044021096433,98,Christian,MISC
uc1.32106012297450,110,Charleston,LOCATION
osu.32435001929710,28,She,PERSON
mdp.39015004313469,113,he,PERSON
uc1.b3711124,317,He,PERSON
uc1.$b63692,226,Teresa,PERSON
uc2.ark:/13960/t17m04p6z,113,her,PERSON
mdp.39015034518962,158,Neanderthal,MISC
uc1.32106007387381,105,he,PERSON
mdp.39015048899069,27,she,PERSON
uva.x000951729,269,he,PERSON
mdp.39015030202835,38,her,PERSON
mdp.39015016452750,100,she,PERSON
uc1.$b805638,44,her,PERSON
uc1.b3711121,294,he,PERSON
uc1.$b800082,113,his,PERSON
uva.x004346812,324,Scroggs,PERSON
mdp.39015011807370,173,Peter,PERSON
mdp.39015002375338,46,Bess,PERSON
uc1.$b63692,156,he,PERSON
uc1.$b236274,39,his,PERSON
mdp.39015016454574,68,Jones,PERSON
mdp.39015054095792,126,her,PERSON
mdp.39015033979934,258,he,PERSON
uc1.32106014692526,286,he,PERSON
uc1.$b120181,100,Mae Brown,PERSON
uc1.$b805638,26,Marlin,PERSON
uc2.ark:/13960/t8mc8s37n,51,She,PERSON
pst.000046347077,151,Mother Barker,PERSON
mdp.39015008629795,288,he,PERSON
uc1.b3470438,238,morning,TIME
mdp.39015016452230,223,Nadine,PERSON
mdp.39015046882232,100,Helen,PERSON
nc01.ark:/13960/t3hx2p070,286,His,PERSON
mdp.39015002375338,45,Marse Wes,PERSON
mdp.39015024079561,215,he,PERSON
mdp.39015028686486,340,He,PERSON
uiug.30112001309258,100,He,PERSON
uc1.b3711121,338,American,MISC
uva.x000457192,68,she,PERSON
mdp.39015002719634,223,her,PERSON
mdp.39015020716356,263,Alessandro,PERSON
uc1.$b808977,74,him,PERSON
mdp.39015040116777,65,Virginia Randolph,PERSON
mdp.39015014637402,349,She,PERSON
mdp.39015004313469,60,his,PERSON
mdp.39015073377973,243,Raymond,PERSON
uc1.$b802237,92,him,PERSON
umn.31951002374036t,112,his,PERSON
uc1.b3470438,329,he,PERSON
uc1.b3273229,62,he,PERSON
mdp.39015054272441,196,his,PERSON
nc01.ark:/13960/t1mg7zs6x,197,Merna,PERSON
uc1.32106018321106,40,him,PERSON
uc1.b3456549,132,he,PERSON
mdp.39015034312598,106,her,PERSON
emu.010001355363,161,He,PERSON
mdp.39015001145047,195,He,PERSON
emu.010001070551,229,Sandy,PERSON
uc1.b5521446,133,Kansas,LOCATION
mdp.39015054095792,43,her,PERSON
nyp.33433076059314,133,him,PERSON
mdp.39015033142137,111,She,PERSON
mdp.39015016440656,115,summer,DATE
uc1.b2839282,261,He,PERSON
mdp.39015048899069,192,Daniel,PERSON
mdp.39015003636167,259,him,PERSON
nyp.33433076094543,149,Alice,PERSON
uc1.b3435067,260,Belén,PERSON
mdp.39015014862489,287,Theda Bara,PERSON
uc1.$b805688,105,Wicks,PERSON
mdp.39015014862497,17,her,PERSON
mdp.39015053121862,37,him,PERSON
mdp.39015040577473,19,his,PERSON
uc1.$b102361,211,He,PERSON
uc1.$b399838,59,Freda,PERSON
mdp.39015024079330,221,Doc Cravens,PERSON
uva.x004346812,176,three million dollars,MONEY
mdp.39015053394295,76,her,PERSON
mdp.39015001816555,76,he,PERSON
mdp.39015003635185,124,He,PERSON
