,vol_id,page_seq,entity,type
0,mdp.39015015209623,127,he,PERSON
1,uc1.b3435126,234,Unionist,MISC
2,uva.x000221395,165,him,PERSON
3,pst.000005442492,42,her,PERSON
4,uc1.32106007393728,96,She,PERSON
5,mdp.39015014862471,78,he,PERSON
6,nyp.33433076059314,549,Agnes,PERSON
7,uc1.b3687493,148,Antonia,PERSON
8,mdp.39015002741620,156,Jorge Rodríguez,PERSON
9,uc2.ark:/13960/t4kk94s0d,85,his,PERSON
10,mdp.39015020728666,107,she,PERSON
11,mdp.39015010399841,161,she,PERSON
12,hvd.hn3hhr,122,Harold,PERSON
13,mdp.39015002741612,130,Confederate,MISC
14,mdp.39015012856574,291,Bennett,PERSON
15,uc1.$b401346,225,Jerusalem,LOCATION
16,mdp.39015020648625,327,he,PERSON
17,miun.afb3853.0001.001,226,Laird,PERSON
18,mdp.39015059415839,423,Florida Avenue,LOCATION
19,mdp.39015011359729,19,Jodie,PERSON
20,mdp.39015020852250,39,Virginia,LOCATION
21,mdp.39015024079561,191,Lena,PERSON
22,uc2.ark:/13960/t88g8g708,495,He,PERSON
23,mdp.39015018046923,253,He,PERSON
24,mdp.39015053394352,87,Helen,PERSON
25,uva.x030788124,96,Her,PERSON
26,osu.32435001929710,374,Robin Johial,PERSON
27,mdp.39015053121862,78,summer,DATE
28,mdp.39015057621065,283,Khoe,PERSON
29,mdp.39015020716356,96,He,PERSON
30,uc1.b4368522,169,César,PERSON
31,mdp.39015030113016,293,she,PERSON
32,mdp.39015007057337,24,She,PERSON
33,mdp.39015009022487,178,her,PERSON
34,mdp.39015053394667,264,her,PERSON
35,dul1.ark:/13960/t8vb3f54w,226,He,PERSON
36,uc2.ark:/13960/t88g8g708,420,he,PERSON
37,mdp.39015014135811,170,Max,PERSON
38,mdp.39015000536758,203,her,PERSON
39,mdp.39015009022487,322,he,PERSON
40,mdp.39015073495692,121,him,PERSON
41,mdp.39015054095792,241,she,PERSON
42,uc1.32106010569173,150,last four years,DATE
43,pst.000005442492,91,Jean Jacques,PERSON
44,mdp.39015054095792,175,his,PERSON
45,uiug.30112001309258,162,he,PERSON
46,mdp.39015001145047,26,Perkins Street,LOCATION
47,osu.32435067037481,169,her,PERSON
48,mdp.39015030113503,145,Highlanders,ORGANIZATION
49,mdp.39015019472599,9,New York,LOCATION
50,osu.32435018054957,363,Sappho,PERSON
51,mdp.39015014637402,260,he,PERSON
52,osu.32435055405872,91,French,MISC
53,mdp.39015014862489,108,his,PERSON
54,mdp.39015030747045,295,her,PERSON
55,mdp.39015004733401,195,he,PERSON
56,hvd.32044021096433,98,Christian,MISC
57,uc1.32106012297450,110,Charleston,LOCATION
58,osu.32435001929710,28,She,PERSON
59,mdp.39015004313469,113,he,PERSON
60,uc1.b3711124,317,He,PERSON
61,uc1.$b63692,226,Teresa,PERSON
62,uc2.ark:/13960/t17m04p6z,113,her,PERSON
63,mdp.39015034518962,158,Neanderthal,MISC
64,uc1.32106007387381,105,he,PERSON
65,mdp.39015048899069,27,she,PERSON
66,uva.x000951729,269,he,PERSON
67,mdp.39015030202835,38,her,PERSON
68,mdp.39015016452750,100,she,PERSON
69,uc1.$b805638,44,her,PERSON
70,uc1.b3711121,294,he,PERSON
71,uc1.$b800082,113,his,PERSON
72,uva.x004346812,324,Scroggs,PERSON
73,mdp.39015011807370,173,Peter,PERSON
74,mdp.39015002375338,46,Bess,PERSON
75,uc1.$b63692,156,he,PERSON
76,uc1.$b236274,39,his,PERSON
77,mdp.39015016454574,68,Jones,PERSON
78,mdp.39015054095792,126,her,PERSON
79,mdp.39015033979934,258,he,PERSON
80,uc1.32106014692526,286,he,PERSON
81,uc1.$b120181,100,Mae Brown,PERSON
82,uc1.$b805638,26,Marlin,PERSON
83,uc2.ark:/13960/t8mc8s37n,51,She,PERSON
84,pst.000046347077,151,Mother Barker,PERSON
85,mdp.39015008629795,288,he,PERSON
86,uc1.b3470438,238,morning,TIME
87,mdp.39015016452230,223,Nadine,PERSON
88,mdp.39015046882232,100,Helen,PERSON
89,nc01.ark:/13960/t3hx2p070,286,His,PERSON
90,mdp.39015002375338,45,Marse Wes,PERSON
91,mdp.39015024079561,215,he,PERSON
92,mdp.39015028686486,340,He,PERSON
93,uiug.30112001309258,100,He,PERSON
94,uc1.b3711121,338,American,MISC
95,uva.x000457192,68,she,PERSON
96,mdp.39015002719634,223,her,PERSON
97,mdp.39015020716356,263,Alessandro,PERSON
98,uc1.$b808977,74,him,PERSON
99,mdp.39015040116777,65,Virginia Randolph,PERSON
100,mdp.39015014637402,349,She,PERSON
101,mdp.39015004313469,60,his,PERSON
102,mdp.39015073377973,243,Raymond,PERSON
103,uc1.$b802237,92,him,PERSON
104,umn.31951002374036t,112,his,PERSON
105,uc1.b3470438,329,he,PERSON
106,uc1.b3273229,62,he,PERSON
107,mdp.39015054272441,196,his,PERSON
108,nc01.ark:/13960/t1mg7zs6x,197,Merna,PERSON
109,uc1.32106018321106,40,him,PERSON
110,uc1.b3456549,132,he,PERSON
111,mdp.39015034312598,106,her,PERSON
112,emu.010001355363,161,He,PERSON
113,mdp.39015001145047,195,He,PERSON
114,emu.010001070551,229,Sandy,PERSON
115,uc1.b5521446,133,Kansas,LOCATION
116,mdp.39015054095792,43,her,PERSON
117,nyp.33433076059314,133,him,PERSON
118,mdp.39015033142137,111,She,PERSON
119,mdp.39015016440656,115,summer,DATE
120,uc1.b2839282,261,He,PERSON
121,mdp.39015048899069,192,Daniel,PERSON
122,mdp.39015003636167,259,him,PERSON
123,nyp.33433076094543,149,Alice,PERSON
124,uc1.b3435067,260,Belén,PERSON
125,mdp.39015014862489,287,Theda Bara,PERSON
126,uc1.$b805688,105,Wicks,PERSON
127,mdp.39015014862497,17,her,PERSON
128,mdp.39015053121862,37,him,PERSON
129,mdp.39015040577473,19,his,PERSON
130,uc1.$b102361,211,He,PERSON
131,uc1.$b399838,59,Freda,PERSON
132,mdp.39015024079330,221,Doc Cravens,PERSON
133,uva.x004346812,176,three million dollars,MONEY
134,mdp.39015053394295,76,her,PERSON
135,mdp.39015001816555,76,he,PERSON
136,mdp.39015003635185,124,He,PERSON
137,mdp.39015066051023,346,she,PERSON
138,uc1.$b300242,164,K.M. Dickty K.M.,PERSON
139,txu.059173005430726,168,her,PERSON
140,uc1.$b119911,204,his,PERSON
141,mdp.39015034518962,95,Clea,PERSON
142,uva.x004346812,71,New York,LOCATION
143,uc1.b4368522,144,his,PERSON
144,ucbk.ark:/28722/h29z8m,425,Equatorial,MISC
145,uc1.$b510296,34,Francis,PERSON
146,mdp.39015021862308,242,him,PERSON
147,uc1.$b800082,106,his,PERSON
148,mdp.39015038025527,71,her,PERSON
149,uc1.b4097270,132,he,PERSON
150,mdp.39015015351599,237,Billy,PERSON
151,osu.32435018054957,70,he,PERSON
152,uc1.$b251007,78,He,PERSON
153,dul1.ark:/13960/t6vx6fj7q,202,Richard,PERSON
154,pst.000046347077,139,Mother Barker,PERSON
155,mdp.39015004753730,318,her,PERSON
156,emu.010001355363,28,his,PERSON
157,uc1.b3973268,226,Harry,PERSON
158,mdp.39015014135811,526,him,PERSON
159,mdp.39015020712173,51,His,PERSON
160,mdp.39015008240296,279,her,PERSON
161,uc1.$b401346,92,his,PERSON
162,mdp.39015018046923,283,Atlanta,LOCATION
163,uc1.b3456549,92,her,PERSON
164,mdp.39015028095795,119,Marise,PERSON
165,miun.abr7583.0001.001,50,he,PERSON
166,uc1.b3834441,237,her,PERSON
167,mdp.39015014135811,398,Don,PERSON
168,mdp.39015024079330,141,Waldo,PERSON
169,mdp.39015014637402,114,he,PERSON
170,uc1.$b808977,168,Joe,PERSON
171,uc1.b4368522,296,He,PERSON
172,mdp.39015053538297,115,he,PERSON
173,mdp.39015038025527,139,she,PERSON
174,mdp.39015014135811,522,He,PERSON
175,uc1.$b120117,174,Evans,PERSON
176,uc1.b4095384,60,he,PERSON
177,mdp.39015033255236,239,Hester,PERSON
178,mdp.39015059435944,209,his,PERSON
179,mdp.39015066034508,138,her,PERSON
180,mdp.39015037468769,66,Dexter,PERSON
181,mdp.39015007057337,153,She,PERSON
182,njp.32101068170834,183,her,PERSON
183,uiug.30112002544713,22,he,PERSON
184,txu.059173005430726,278,his,PERSON
185,mdp.39015028718305,82,Trevor,PERSON
186,osu.32435018054957,402,her,PERSON
187,uva.x004346812,197,he,PERSON
188,mdp.39015061148626,210,him,PERSON
189,uc1.b3711043,273,she,PERSON
190,uc1.$b251007,46,Maurice LeFleur,PERSON
191,uc1.b3688127,105,Sissy,PERSON
192,mdp.39015011800169,20,Gloucester,LOCATION
193,mdp.39015004315027,122,her,PERSON
194,mdp.39015050487928,200,he,PERSON
195,mdp.39015073495692,157,he,PERSON
196,mdp.39015059415839,54,He,PERSON
197,mdp.39015061148626,374,afternoon,TIME
198,mdp.39015002375338,397,Wilcox Turner,PERSON
199,uc1.b4095384,157,his,PERSON
200,mdp.39015037484576,27,her,PERSON
201,mdp.39015066034508,42,she,PERSON
202,mdp.39015010423526,238,him,PERSON
203,mdp.39015014135811,284,Don,PERSON
204,uc1.b3687493,129,he,PERSON
205,dul1.ark:/13960/t6vx6fj7q,435,He,PERSON
